"","x","y","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"661",-127.375,50.875,0,119.931097483826,0,0,7.77422902069092,31.9066198455811,0,11.2042796966553,43.758851222229,0,13.5384951446533,57.6689131515503,63.1970650146484,95.3500586166382,0,315.0924859375,255.914479203796,0,0,0,12.379071395874,73.7779344528198,67.1953788482666,40.5862327072144,26.2541917480469,20.2685237579346,0,12.8480962890625,5.77898152313232,0,2.2090061416626,74.4741231262207,241.926620904541,439.993466416931,365.70840004425,9.68409738616943,81.6679912261963,161.753248725891,158.191498574829,48.0165447433472
"662",-127.375,51.125,18.3483882034302,152.200426954651,6.37599906921387,0,6.87404947052002,16.5526975723267,0,25.1867901245117,68.1787214477539,0,9.98352571258545,46.1880476043701,23.7088917053223,90.5865653015137,0,248.589398446655,241.464728845215,6.88480914001465,0,0,9.77990669250488,66.282393876648,90.0352375335693,40.261236277771,29.5695675476074,23.3567754104614,0,14.8595860595703,11.9937436798096,0,2.16716666412354,74.6603048614502,248.164836320496,435.071483094787,334.293987774658,32.6519614639282,84.1089435256958,152.049674478149,166.525453561401,35.0670613616943
"663",-127.375,51.375,18.7072091247559,157.709114227295,15.3642991363525,0,6.17141976623535,32.2183013442993,0,31.1965556930542,60.4481255981445,0,15.3006590042114,50.5128602859497,23.5850465255737,96.343378477478,1.20942256011963,219.11199990387,235.174467178345,5.56322458801269,0,0,9.38776250610352,73.6768724945068,114.610469119263,46.8964252365112,31.072304548645,41.9976217285156,0,8.14562396850586,11.1901940628052,0,1.21904844665527,83.916527520752,247.095447302246,405.019095629883,320.21205758667,43.3272462600708,87.6160143386841,144.55365660553,164.828798583984,42.1897619491577
"664",-127.375,51.625,27.2342309387207,157.933389389038,16.4774104324341,0,6.37797631530761,34.4446141159058,0,21.3342109008789,61.4137156234741,0,15.1636723480225,50.3622394561768,15.350362411499,95.2598088729858,1.31948922424316,213.002763569641,219.988545022583,5.75016735687256,0,0,11.0449133712769,79.1459997680664,131.345306636047,46.5453884338379,31.4242663757324,46.0195720565796,0,17.8498749038696,6.09672897338867,0,1.19801513519287,84.518066897583,245.616920480347,409.24401479187,333.226077201843,44.7010665649414,94.8297418426514,127.811468032837,155.442981130982,43.791972555542
"665",-127.375,51.875,26.5724470596313,158.277727503967,15.6702344558716,0,0,36.1568616790772,0,21.3221520843506,50.2510714202881,0,6.15133298339844,49.5252283020019,21.118072706604,79.1006132385254,1.42827516326904,196.403886657715,222.943156231689,6.80039279022217,0,0,10.7568868530273,78.8989698379516,135.362065159607,47.4914022613525,31.9929526550293,48.0136101989746,0,17.6936946548462,0,0,1.18474383850098,82.0395519073486,242.514070495605,423.670720155334,325.289369935608,41.7510486480713,112.66957996521,119.528307693481,145.473268667602,35.092885269165
"666",-127.375,52.125,19.4321669586182,153.126426828003,10.0661101394653,0,0,43.798474407959,0,18.7210694839478,48.5040683502197,0,5.32751016998291,41.9093669998169,17.8253733352661,75.9455939880371,2.5086614654541,178.027119444275,200.709405569458,8.90118339233399,0,0,21.492311428833,71.7577159179687,147.086130055237,41.0643416549683,30.6112878250122,47.8326120880127,7.04163807373047,7.80634380645752,12.9007273529053,0,1.17496021881104,98.3142418334961,232.412186608887,426.909995703125,336.056869450379,55.7365312866211,129.564350427246,136.533464831543,138.1463739151,40.4159329193115
"667",-127.375,52.375,25.9994326156616,140.165443811035,10.1146389266968,0,0,37.6352271957397,0,19.6746697494507,58.2141919311524,0,0,39.5064908172608,30.565137197876,65.1875827789307,2.60454446258545,179.871308952332,201.420554107666,9.0658585357666,0,0,14.7247107894897,61.8854838760376,154.602040611267,43.4757957824707,35.3036450912476,45.1216281814575,6.24227218780517,7.56609106292725,13.764725630188,0,1.16828703308105,116.579051437378,227.99343697052,450.695225357055,343.783463998413,56.5571665283203,144.785987768555,170.333387014771,135.285725801086,42.1559553024292
"668",-127.375,52.625,21.837481829834,127.526142675781,16.6228181640625,0,0,35.515310319519,0,19.550210899353,64.7125614624023,0,0,23.4219635772705,32.0118242782593,74.1174318511963,1.64230736541748,190.533708280945,219.380663652039,8.15193549804687,0,0,8.01334060058594,59.8662253845215,156.959598487854,49.5759283416748,51.1077276931763,41.6924463882446,5.87443159942627,7.30155483703613,14.5655729721069,0,1.14779266052246,127.416990232849,224.347859306335,457.521285971069,364.330014529419,57.1802365570068,148.277428266907,196.198854240417,133.766113775635,40.635802116394
"669",-127.125,50.625,8.88366112823486,133.006103851318,0,0,7.21095532226563,20.8098751983643,0,17.8235795089722,8.50209447784424,0,30.6019911758423,68.2814287719727,116.845958306885,84.8667400878906,24.4243413986206,357.150778866577,298.243959219361,0,0,0,14.5415533584595,88.8606483551025,73.5984942428589,68.2719533859253,38.8095805297852,18.1761629577637,0,0,5.95946757049561,0,20.9231234542847,110.313414802551,264.405840689087,436.906043992615,333.937293893433,21.6024737808228,104.900529875183,231.315969166565,110.171184538269,61.2211167449951
"670",-127.125,50.875,0,119.903810720825,0,0,7.75610471038818,26.9151919891357,0,11.238102684021,39.8988697311401,0,13.5155495941162,57.8472330932617,63.6008484130859,95.0813426483154,0,316.692201461792,255.930849919128,0,0,0,12.3925049240112,73.9346343307495,67.3163430221557,40.5728868865967,26.2757338760376,20.3483236495972,0,10.1735430557251,5.77101145782471,0,2.21759763946533,75.7621346603394,242.205428483582,440.11787467041,365.833921995544,11.5108261016846,82.9305462173462,162.291362408447,158.368537286377,49.285110307312
"671",-127.125,51.125,18.4377427230835,152.750147912598,6.34989114532471,0,6.63520494995117,22.1855233047485,0,20.051209223938,58.6122179000855,0,14.4343761810303,48.8299585876465,17.9998817245483,90.7700425323486,0,229.439730142212,244.63920730896,12.2157140472412,0,0,9.71142654876709,63.4949667861938,98.2206380630493,40.3883695785522,30.2697188156128,24.1890758758545,0,10.659339024353,11.662735093689,0,2.16015720672607,83.8747192062378,248.658596430969,425.976279954529,331.721026657105,35.6687633758545,86.8207238937378,142.881965849304,167.300084143066,35.2887747772217
