x,y,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-176.875,-43.875,97.97026131,34.23848575,10.23843254,24.41979577,15.57227506,71.13237968,62.87065689,55.35884088,145.6341272,16.92532178,64.71371351,35.43078235,24.04653259,25.02765992,239.5509174,93.50271181,65.78177552,35.96847422,230.1204033,67.79881277,99.74434576,20.69121164,100.6750042,122.4096524,211.6702506,229.6451137,75.97045968,143.1297479,145.0775736,244.709353,145.6131876,234.1573189,194.4205755,162.5960103,228.5287602,223.3068634,182.1187504,190.6736997,420.4444501,175.4269161,359.209355,344.2210789,340.9659468,197.1053609,467.0605812,332.2532556,510.0789928,386.5304778,255.471947,401.4664375,487.5866345,350.8881858,433.8921854,451.9943183,339.6524445,344.4686328,538.2547338,600.9224722,405.7545379,463.6981921,599.7898037,393.337824,641.0970624,536.890229,705.6096181,668.8928498,668.7933845,750.0425325,659.212274,757.8067286,855.593608,729.4119507,792.2475292,1006.371657,891.8801278,884.6757868,770.8387647,856.0563946,897.8989272,908.3606357,999.2046699,1027.52543,1049.29159,720.7654717,785.1851666,919.2277901,999.1434508,1047.949582,989.7554954,1025.818482,1048.177983,1035.312851,1085.634603,1090.738495,1058.888776,1157.942381,1210.824248,1273.660935,1116.062873,1105.054441,1207.736175,1229.601526,1265.322189,1319.353447,1241.816438,1170.963043,1413.577275,1552.867456,1425.575099,1323.342972,1216.704664,1423.266116,1578.7257,1570.511539,1554.458614,1508.744742,1476.888358,1504.812085,1565.908675
-176.875,-43.625,83.86279162,31.69993778,8.095737528,31.06565459,19.34111432,69.60380353,76.21710988,50.69433213,144.4541162,16.15267914,66.22076532,34.69197706,26.67942262,26.74714807,235.4962928,87.25237561,61.98334061,35.17845282,228.0909756,73.98735518,102.6777245,26.58463169,106.8464323,120.2342149,205.0663363,238.3421956,62.95697472,134.5329813,144.9842652,224.1645732,159.4320563,230.2457874,193.8913309,162.8879627,227.3568717,218.6688257,179.0539527,176.950315,417.1318117,168.3221977,331.8374236,325.9640563,331.3024163,198.4722835,446.6101607,317.646687,494.7672815,388.5642228,245.71251,393.4695674,494.7348634,343.1411644,433.3716267,447.1330885,306.8862544,339.4723391,543.1819082,578.2864653,392.1176757,462.3453773,600.2619016,390.5319419,638.2618064,522.3000072,696.2268531,664.3711416,668.4022144,738.7187499,666.3660341,757.7300239,840.6233181,732.835115,791.3448501,990.98771,893.0152761,873.1873914,779.7517629,870.6802568,902.3225475,900.3916467,995.2168466,1016.51425,1035.253835,727.6120807,764.3309,908.2084748,977.8769269,1050.372028,981.105598,1014.065109,1048.174634,1010.609619,1070.623277,1084.966892,1057.480013,1145.28249,1202.821588,1266.274934,1123.866574,1091.171414,1206.877039,1222.481036,1260.575326,1333.649249,1225.729102,1166.983203,1402.301215,1531.50338,1408.808118,1313.292853,1199.152023,1409.700168,1525.192264,1545.664319,1556.362245,1495.146054,1475.031064,1498.156093,1565.755135
-176.625,-44.125,114.6857009,39.09711389,9.86165173,16.15695864,7.491759366,66.56221557,71.77776671,57.32846224,142.3074005,16.48593753,55.25114058,35.62249614,14.86504212,21.58225517,242.6348793,101.0548934,57.07532742,40.01812564,225.8152736,68.23014376,95.30457435,21.21138188,92.87763316,84.14501855,214.2962264,223.2713565,75.37291864,143.3500633,144.4361928,241.6722114,125.9717464,229.3673013,196.7121347,161.9896065,208.8961828,227.441899,174.8987459,182.8260025,419.1143866,175.0569974,363.9478933,354.6113857,333.6896552,206.0447743,465.1059921,343.5604303,521.4445987,401.9206228,265.1339674,410.0378965,469.9527693,352.5451241,435.4203394,451.1921588,360.6598708,344.5619132,530.2934557,597.2986331,428.2394415,452.561404,609.130777,404.8764092,647.8424132,526.9413297,692.7898607,676.1924895,661.3695745,756.5246584,682.963968,773.3646003,859.6057884,733.1716292,798.8308501,1011.674585,874.8203454,879.7501363,765.411112,838.3381186,890.198246,904.6917527,977.78917,1025.986999,1054.988402,752.5751798,793.7086142,942.4917012,1020.368712,1050.629866,1009.140672,1010.442728,1044.225002,1064.016787,1085.340364,1094.438229,1040.060935,1160.009898,1202.432875,1277.893919,1099.214209,1108.089134,1203.232756,1231.455528,1248.190127,1300.411508,1240.979232,1174.672248,1425.824824,1566.901271,1427.656726,1314.416986,1247.381787,1414.703135,1618.780421,1611.880188,1547.493746,1502.131889,1458.848882,1495.265453,1555.045846
-176.625,-43.875,104.7953218,33.84624533,10.39147666,17.02591739,7.694079386,69.26322475,81.58571049,55.84657727,150.931093,25.89491225,60.79359564,34.92637669,19.750802,20.58479369,237.7227883,95.8423875,63.9960646,35.71536712,224.5402532,69.09063899,99.92174921,29.30221576,99.58572547,98.40368552,211.079265,225.9127059,68.66197729,153.7027137,149.0398445,226.1488554,140.0809212,235.4078598,196.7303944,163.773735,214.23851,222.3640739,182.7300964,179.6795053,421.843953,165.2198436,354.4722489,344.1839692,317.9485659,198.837253,445.4698114,321.5116906,498.7835546,399.7101331,260.7463389,402.8309625,478.1377226,347.6394897,440.2991509,454.3257144,353.9265917,340.8906949,537.0447346,591.328127,408.5757819,450.3259003,603.4936888,399.6545864,639.6732808,523.3523531,681.8938452,672.1960936,661.5743404,744.3251844,654.9807824,769.5714645,843.6844155,729.6055011,792.5291265,1003.013753,880.1755136,874.2342655,760.4588743,842.0224262,891.6448861,899.9297667,978.2324076,1016.534576,1050.449976,737.4166363,795.7094097,916.3713778,1004.917125,1051.039366,1000.035843,1013.170619,1046.717833,1051.948012,1078.304833,1095.642214,1041.508284,1158.20735,1204.124118,1277.388294,1103.847648,1098.417883,1206.538494,1227.033186,1248.547823,1310.190972,1246.906778,1160.368157,1418.822097,1559.49621,1424.617476,1308.624964,1235.040694,1406.173496,1598.453389,1588.66276,1555.824679,1491.427378,1463.866313,1495.584665,1556.387229
-176.625,-43.625,87.73775903,33.66115382,8.095992686,26.00531193,13.43345581,68.86693947,88.15719689,51.38088902,148.7819807,25.73089617,61.18522583,33.0508123,24.59845633,21.714481,236.8825928,89.93244903,59.77598654,35.6534538,225.2120456,79.2894122,99.39680324,26.69155628,106.3882928,102.4501819,196.8058749,237.2168168,65.29996755,141.9981336,146.5025953,222.200003,148.1526821,240.6468083,194.6008892,163.0100604,226.6237988,215.5445616,182.8931102,168.5169937,409.7801857,163.8338523,326.8095727,320.4214169,305.0811515,198.8666369,431.5549877,309.3761268,493.443332,397.2957707,252.4116087,397.4676092,481.3186936,340.6082419,438.0113066,449.9402911,318.8343007,344.4536988,541.6886366,575.8536602,394.4829447,452.0392632,594.6702821,390.7756591,638.1134254,511.7612826,676.9855847,667.1140816,659.7479526,732.5963272,659.434295,766.8386972,828.1192278,729.4494896,788.6925972,987.1927271,882.8418317,864.7452692,779.5050337,858.0437126,898.0767936,892.9059636,986.5744711,1008.936369,1036.966035,727.0859039,775.5657821,902.5233857,983.4338349,1044.092416,989.428311,1010.061584,1046.086915,1022.190259,1063.281666,1088.998403,1042.12098,1145.168694,1199.480621,1269.075554,1113.969889,1086.526747,1205.353086,1220.38218,1245.984378,1326.227457,1224.437186,1156.131994,1406.166604,1536.248769,1405.742001,1299.845725,1204.143768,1394.152468,1541.090066,1544.478176,1558.063598,1480.554723,1458.444264,1490.334419,1555.890599
-176.375,-44.375,126.1704376,47.57536432,8.803778068,18.22300741,6.772422166,70.56128886,66.82215272,57.55817567,144.0613196,17.6487339,49.11486044,34.54711108,14.61284888,18.89988433,228.7591237,105.1167584,55.01517515,37.92901227,225.9026478,68.22188345,93.55454962,29.56155185,72.21452872,89.40807481,209.4198364,215.9618822,71.82537215,140.7833795,140.2624229,250.7778367,116.827274,208.9899822,197.0407892,160.7344607,189.2143802,222.6594072,186.235595,192.4008555,409.1773365,213.100307,363.7486129,357.3260756,334.3362892,231.1597376,453.6006106,339.5707013,537.5101114,430.5128926,270.4923784,415.8566676,462.9107008,344.425825,440.1780676,452.5979841,366.5934824,349.7923312,521.8640499,611.5450381,423.0663802,439.7170069,623.9338587,417.4926174,660.4042252,513.3988758,689.9529988,684.9367477,664.4092183,756.0350562,700.3454931,800.6925863,863.5977809,759.7064292,816.4137964,1025.207465,885.6119634,892.6058727,770.334435,843.857141,889.7122382,907.3267532,977.2878703,1028.848646,1073.347811,778.6873184,806.9734922,973.4596839,1024.417524,1055.498659,1036.149381,1026.566558,1039.794712,1089.280566,1083.302905,1106.004221,1040.79558,1173.471636,1240.97297,1278.119899,1115.092653,1131.571158,1213.020531,1238.591573,1273.548118,1306.12572,1227.874867,1196.354175,1457.469527,1591.079084,1426.661723,1345.682171,1248.132057,1432.919573,1615.397524,1614.356008,1549.310108,1537.504732,1461.744366,1521.892024,1560.983487
-176.375,-44.125,117.8922259,42.68347819,9.523628068,15.97417213,6.347313217,64.57938084,77.59708296,56.71618567,150.0487694,26.57342415,52.88070387,34.9673275,14.22966473,20.44018371,241.0520168,101.4727006,54.99742592,39.86538393,218.6055267,68.01738575,97.3011233,37.43507718,84.09641194,86.74769948,207.0158589,222.0621679,67.23003362,143.0381235,142.5296049,230.0424159,131.8909875,230.3122671,196.1905744,158.6332376,189.7745119,227.2697066,177.4573097,178.0521272,412.568087,175.765117,354.8907662,350.7766281,316.6393105,207.9745773,438.8008677,324.3048192,504.3571656,421.8821271,268.5251734,410.5159808,459.6411175,342.3069628,448.3404809,457.40772,362.9556509,348.3534949,524.9991158,609.5617403,432.9751598,440.0895414,622.3024738,409.9293282,654.2062576,514.2546541,683.4231615,680.3065937,655.1522817,744.6057385,667.0761295,796.2896945,844.4947424,751.662337,807.4278694,1014.187065,867.9983588,872.8244375,769.4347918,844.1956648,897.3527254,901.6137477,971.594141,1013.706633,1060.205591,763.1585216,787.4438518,944.7187333,1010.991723,1055.741813,1028.278665,1003.399509,1041.772221,1077.743279,1073.659159,1107.951901,1037.434578,1166.343939,1199.609689,1278.997832,1109.705356,1105.664207,1215.611576,1234.199884,1242.663104,1312.439627,1230.242402,1172.492227,1446.796904,1582.414054,1419.39872,1301.554336,1243.798895,1393.233727,1606.625393,1598.456987,1554.057619,1488.855399,1454.988984,1483.553994,1553.120306
-176.375,-43.875,111.900294,38.92240222,10.0452206,19.09714929,6.88293752,66.51425146,93.87200897,50.38037236,152.8860481,37.61716966,52.60030571,32.92707004,19.1726498,20.27226765,234.4732667,96.79358178,56.6464902,37.19683748,220.7559561,76.17909112,99.44757576,44.36000446,93.92578849,98.31311324,202.5174639,225.1565138,58.65648777,160.2926994,141.8656344,222.1618421,139.7823608,242.5868659,194.736116,161.7896517,206.871627,223.4415798,182.7740614,172.9151775,423.0672232,161.3228244,351.9910791,334.9155666,303.8824651,194.7845508,421.9190241,310.0236657,492.0178542,416.3881947,263.8097091,403.6165371,464.3270133,340.1356451,451.4290151,456.0712635,354.8733661,345.2731885,532.1988687,594.2846578,417.4607425,441.2376022,607.9737737,405.194951,644.8187289,514.6703654,670.4011097,675.4938086,654.8684224,732.5232004,640.3739621,792.9147694,829.4226855,744.485676,802.7027,1001.593709,875.7361477,867.7081592,770.881865,847.1984314,903.4022144,896.2800229,979.2858129,1011.349031,1051.483435,737.8472726,796.3411885,921.9394847,998.7571184,1053.683338,1014.8921,1005.68532,1043.107357,1066.286409,1063.160782,1107.310065,1034.660255,1162.985308,1201.970644,1277.448721,1111.659018,1094.337382,1216.428596,1229.33814,1242.409129,1317.971805,1238.365616,1155.520215,1434.366894,1569.505596,1412.613726,1295.761344,1233.610891,1384.839474,1587.689627,1576.842971,1558.353939,1478.647575,1457.621563,1482.993619,1552.989616
-176.375,-43.625,89.9428054,33.2707854,7.90254001,25.68755534,10.7041992,67.10927088,93.68148259,51.0801661,150.8574793,38.60113093,50.95319018,32.27727449,24.06645702,21.48907978,236.1366738,89.68797766,56.16689399,36.64363728,223.8128688,81.0566319,99.4092239,27.08470208,101.5561112,98.60082318,186.1215147,230.7254824,57.21318796,157.5544571,142.1222358,220.2111674,146.4426143,241.1312649,192.1727668,162.4469162,221.1382996,214.972004,183.3199922,165.4175452,399.4675256,157.7359921,325.1128479,317.6970442,293.2787589,193.1259139,414.8797482,307.4024169,489.4722256,414.7894603,253.8044289,399.331398,467.3614831,334.7157804,447.8903581,451.9824782,319.0257969,347.726174,537.9582482,589.1328706,399.7996137,441.8537419,606.0648097,393.9021225,636.9140699,509.5293993,665.7419558,670.8670142,655.1409302,719.5338859,650.4089839,783.8778626,814.0381298,734.3580731,796.2568867,983.4545965,878.7935963,858.3318465,780.4272052,859.8890611,906.6604565,888.9802317,988.4141766,1001.452314,1037.214448,731.3697304,776.4522416,900.6793249,978.9349763,1043.511791,998.95667,1003.404152,1042.088792,1031.954954,1049.648725,1097.545036,1033.953224,1147.48609,1197.596195,1268.964498,1118.374237,1082.666294,1211.259099,1222.823701,1239.262506,1329.669733,1224.616973,1149.307165,1415.746839,1541.64458,1394.378356,1287.932554,1202.787728,1374.446746,1532.929849,1535.085196,1561.059274,1468.13696,1454.377803,1479.452274,1551.15637
-176.125,-44.375,127.8020383,63.00884081,8.033975872,20.97595716,5.469990838,70.92848877,79.84479001,55.36410425,154.2400138,19.6405538,50.19262891,33.68762516,14.10716923,16.60140107,229.1954534,99.96026095,52.24436744,34.61381103,221.7456992,73.55442639,92.43297715,40.09244875,66.34733029,86.95501188,200.5747234,220.4858678,65.76329077,139.1978157,152.3165507,240.037253,128.3360888,208.8401683,192.9240568,163.3296488,179.6828007,220.6641572,190.2316662,180.851783,404.7483709,215.6809974,354.2428746,355.1704803,329.6841071,215.4099055,425.7631358,316.757359,533.651653,455.17523,280.4507644,417.1518188,450.744056,326.9590189,454.9918683,458.7198415,366.4117686,354.6926851,541.6384529,627.3542869,430.6120695,422.4669722,640.6916841,431.3803387,668.3816451,538.3148996,674.9867791,691.4201027,665.4584738,725.7737628,685.3984638,839.4113998,851.5328892,805.8384923,836.5359142,1037.039611,891.9279997,894.8324996,786.6503363,865.5258107,904.3743383,908.3711593,982.3734959,1027.132054,1086.740716,810.651171,804.7511814,981.9778594,1027.866435,1062.766535,1055.995602,1028.957727,1063.980622,1086.895034,1066.386333,1129.109984,1051.076157,1188.997763,1251.720197,1279.634841,1144.013879,1142.980689,1237.44659,1259.274411,1280.659596,1341.750197,1212.900914,1201.937553,1491.444429,1615.051046,1431.013843,1340.397476,1232.166982,1414.569398,1588.652663,1581.71324,1569.398803,1531.731387,1464.899294,1526.183642,1565.264204
