x,y,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-176.875,-43.875,97.97026131,34.23848575,10.23843254,24.41979577,15.57227506,71.13237968,62.87065689,55.35884088,145.6341272,16.92532178,64.71371351,35.43078235,24.04653259,25.02765992,239.5509174,93.50271181,65.78177552,35.96847422,230.1204033,67.79881277,99.74434576,20.69121164,100.6750042,122.4096524,211.6702506,229.6451137,75.97045968,143.1297479,145.0775736,244.709353,145.6131876,234.1573189,194.4205755,367.0696922,176.5694314,122.4351225,181.417197,275.103691,305.4461558,353.8655272,104.2719024,208.2639111,286.061426,453.3271248,202.0063355,182.5520447,303.4315368,274.3752461,333.6477063,256.9704953,346.7218121,360.960965,423.2579648,446.5631685,456.0888359,351.8224208,576.1566031,740.8569884,518.889674,461.124581,407.0417558,423.3582854,442.1926565,553.060969,638.1574127,505.5974949,355.0122059,527.3187973,693.9624621,656.2997209,793.362655,551.0320912,571.3433709,561.3329008,668.7651356,863.1596682,640.8161872,501.5916397,684.4989848,683.022237,604.1638649,749.3124806,812.4202472,638.3386847,823.4554829,699.4178889,726.5298461,704.5892409,742.609701,830.4056858,771.2673601,780.8783321,706.4792103,726.833425,918.4275811,892.1286618,989.9072454,728.8978386,843.7404805,640.7894632,853.2818011,861.0267256,939.7127215,857.3246428,1071.649242,995.3972905,781.7774065,943.7644386,839.4486735,847.1648049,890.6432532,960.7537436,953.174231,950.0802911,880.1311738,1108.886631,920.2292622,1032.298054,961.6853915
-176.875,-43.625,83.86279162,31.69993778,8.095737528,31.06565459,19.34111432,69.60380353,76.21710988,50.69433213,144.4541162,16.15267914,66.22076532,34.69197706,26.67942262,26.74714807,235.4962928,87.25237561,61.98334061,35.17845282,228.0909756,73.98735518,102.6777245,26.58463169,106.8464323,120.2342149,205.0663363,238.3421956,62.95697472,134.5329813,144.9842652,224.1645732,159.4320563,230.2457874,193.8913309,351.2537787,175.5468249,112.733206,168.2160755,269.0908572,315.2504569,334.030482,108.2099162,199.0116575,301.0874355,450.1931649,191.3998722,178.830732,299.2583129,273.4981607,329.5473508,263.2099758,341.424048,347.0453883,367.2561843,426.6127647,443.9609189,359.8367629,543.7362595,709.823409,516.1662464,456.4542665,395.7028551,414.1802872,432.9590876,542.9280141,612.6671384,496.6085111,353.1689567,524.6156663,687.2034676,653.7365486,785.3687506,531.7706363,556.6859245,552.876251,658.1769635,860.7531123,631.9568259,498.7003783,679.04018,673.6788638,595.3186108,748.0733583,809.916796,644.4805876,818.7226948,683.909073,738.0669385,692.7420154,748.1780461,821.9783165,760.3785968,777.9724249,697.0684078,737.7378099,910.4326063,876.4700488,981.9612441,709.6776556,823.24822,625.3142598,861.6242994,855.8293721,929.060037,865.6550068,1065.789993,989.4617147,789.347477,943.3273334,854.9215625,848.2489029,881.5463328,944.0120634,955.3785039,954.8999747,875.6389511,1103.284201,925.6505445,1011.710248,966.5030529
-176.625,-44.125,114.6857009,39.09711389,9.86165173,16.15695864,7.491759366,66.56221557,71.77776671,57.32846224,142.3074005,16.48593753,55.25114058,35.62249614,14.86504212,21.58225517,242.6348793,101.0548934,57.07532742,40.01812564,225.8152736,68.23014376,95.30457435,21.21138188,92.87763316,84.14501855,214.2962264,223.2713565,75.37291864,143.3500633,144.4361928,241.6722114,125.9717464,229.3673013,196.7121347,348.0670232,166.6954135,128.7300722,205.3411512,279.0152483,292.7806321,350.7520711,121.9310816,219.8759051,295.4321979,449.5535997,212.1104046,182.9811072,318.484866,259.7145708,309.175213,253.5568804,351.0038645,371.6990236,443.6548074,472.0030117,469.8427511,340.6894783,601.3472041,769.5827213,527.6294077,460.4165983,414.9249886,423.3540178,452.2077235,557.3748896,647.9760741,523.0587844,346.866123,501.824577,681.9747257,672.9881158,796.5783473,554.7143713,596.8819773,564.0139088,666.6924256,860.0445234,632.1175946,509.1332688,678.6998092,679.9717316,603.3476321,749.7778984,803.0184008,635.9065739,832.1982619,714.7559547,701.3975973,706.2925844,738.9737818,833.9618296,774.8603523,791.5914933,718.3097381,726.4762151,912.5685012,891.9734779,980.5911372,748.5383546,846.440055,652.5782717,835.4767657,857.1045618,936.1341876,853.8494151,1055.698518,986.3257051,769.1209196,933.9907453,833.3384488,856.079115,886.7087071,952.9816212,927.0366538,937.2603122,877.5014579,1101.283323,908.5144511,1023.128091,949.9904906
-176.625,-43.875,104.7953218,33.84624533,10.39147666,17.02591739,7.694079386,69.26322475,81.58571049,55.84657727,150.931093,25.89491225,60.79359564,34.92637669,19.750802,20.58479369,237.7227883,95.8423875,63.9960646,35.71536712,224.5402532,69.09063899,99.92174921,29.30221576,99.58572547,98.40368552,211.079265,225.9127059,68.66197729,153.7027137,149.0398445,226.1488554,140.0809212,235.4078598,196.7303944,354.1550875,164.1221748,124.1800287,195.3178074,284.0441271,300.7014427,340.2641611,122.4876833,195.2373109,293.9721102,448.5130412,207.9401576,182.8964472,302.5098908,265.8083417,324.0616972,257.1260927,342.5497088,357.2962691,423.2982029,473.6711014,460.7486311,354.9723471,589.0627659,758.7284707,522.8839118,457.6069838,406.0069429,416.6446072,433.6818455,550.744487,645.2433256,501.8569151,342.925506,508.0568135,687.4649501,665.2321997,794.6033138,545.8130591,583.01345,553.0338449,665.0292187,859.0733601,629.3913827,497.034058,677.2383246,672.2731182,592.7455937,749.6644024,799.8681521,638.6718631,822.5252085,698.8970466,707.1809179,693.95591,734.9897545,827.6502646,769.230506,776.7389485,709.781654,723.1136032,911.3503304,880.6613766,974.0698159,729.3210403,832.0099706,642.4616059,842.8962137,856.2362547,931.0075238,848.8707306,1051.376082,982.5433001,777.3943382,932.1581284,834.2181576,851.0779031,893.8019681,940.1106666,934.6398913,940.3128522,875.5045033,1099.250724,909.4841641,1010.800477,950.3844731
-176.625,-43.625,87.73775903,33.66115382,8.095992686,26.00531193,13.43345581,68.86693947,88.15719689,51.38088902,148.7819807,25.73089617,61.18522583,33.0508123,24.59845633,21.714481,236.8825928,89.93244903,59.77598654,35.6534538,225.2120456,79.2894122,99.39680324,26.69155628,106.3882928,102.4501819,196.8058749,237.2168168,65.29996755,141.9981336,146.5025953,222.200003,148.1526821,240.6468083,194.6008892,347.3383219,164.1824372,115.1785259,161.5472991,273.8941916,309.6535768,326.3078358,120.2449462,188.1146034,301.7114059,446.3451985,198.4019154,182.3916588,305.3665508,263.2787047,326.1163807,261.6233245,336.0346635,343.7817363,398.1176144,452.0008537,440.493423,367.1550797,538.9290041,723.8722378,509.3904843,458.7351801,390.6701976,412.2155018,432.5858019,542.6612241,620.5166269,496.4461785,339.6164034,513.3027663,687.0089905,655.3996229,786.6304525,521.478697,562.3271867,550.1162519,654.224507,857.407858,620.6416579,491.03249,672.9864857,669.3512097,585.8793901,746.2504497,797.4922572,639.4922612,816.0091613,684.0754244,729.5478716,684.9700465,741.0452315,818.598595,758.7163356,770.9940621,701.2299366,735.8722006,905.4708136,866.0696197,968.0675906,709.9411226,818.5676124,631.5866585,854.583559,852.8606562,921.2141226,857.5876101,1048.981389,978.8636325,784.0557816,932.8773389,849.3666247,846.358251,883.6084252,924.0324129,936.5177508,937.8120172,871.4928256,1094.788849,917.5660828,999.3136971,957.898449
-176.375,-44.375,126.1704376,47.57536432,8.803778068,18.22300741,6.772422166,70.56128886,66.82215272,57.55817567,144.0613196,17.6487339,49.11486044,34.54711108,14.61284888,18.89988433,228.7591237,105.1167584,55.01517515,37.92901227,225.9026478,68.22188345,93.55454962,29.56155185,72.21452872,89.40807481,209.4198364,215.9618822,71.82537215,140.7833795,140.2624229,250.7778367,116.827274,208.9899822,197.0407892,345.6373971,165.9513981,132.5917356,218.2820323,290.44225,283.4584391,364.7947436,117.7438924,236.5938202,306.8437516,443.6386853,215.7744514,201.4879684,332.7564196,248.5112022,296.1766719,268.6707068,359.7449534,384.9708661,462.4656559,477.5866492,490.9339303,356.4815,627.5531387,796.8685006,537.5284898,447.2707295,414.3638216,460.4892725,463.4062515,566.8918392,647.1886575,529.8930094,339.5917169,503.0805437,677.3190186,689.7808726,804.8581339,551.7813614,617.9384923,571.7022511,681.6321954,859.7060327,618.820824,516.3822149,673.7462264,683.8993737,599.7392636,757.8010717,794.1597043,632.0045852,856.1812506,718.1715555,699.1669719,743.9737173,743.7218784,841.3169248,792.7853961,819.4836292,746.3996721,749.707045,925.1665159,902.0401172,986.7617973,759.4612565,848.3157337,645.7167373,835.1964541,864.8013714,948.405385,858.9137712,1069.016944,990.8815749,754.1457517,935.7519866,840.706559,865.0470655,878.5370313,948.7260361,927.4098947,936.7931603,880.0705111,1096.009851,912.8779581,1037.339731,967.4043369
-176.375,-44.125,117.8922259,42.68347819,9.523628068,15.97417213,6.347313217,64.57938084,77.59708296,56.71618567,150.0487694,26.57342415,52.88070387,34.9673275,14.22966473,20.44018371,241.0520168,101.4727006,54.99742592,39.86538393,218.6055267,68.01738575,97.3011233,37.43507718,84.09641194,86.74769948,207.0158589,222.0621679,67.23003362,143.0381235,142.5296049,230.0424159,131.8909875,230.3122671,196.1905744,338.4127578,165.6029926,128.4398939,213.1877522,294.7738955,287.9717157,332.351798,131.5016225,213.2957921,303.4565905,444.5077143,221.5563251,195.4236964,318.7974225,251.9850494,301.4742297,259.4394522,347.0822693,364.7625088,439.0556002,479.128993,469.7689476,344.5471249,617.6585123,788.7160489,530.4871368,464.3337337,405.6609357,449.4036161,443.8021842,553.6869664,641.3089792,519.226891,340.9137774,485.7648484,679.6649406,693.0546973,803.1020028,551.514955,596.0041067,570.9195739,666.1478637,856.378904,619.4923502,503.6888679,669.0571337,676.0206272,591.1964633,758.5503623,795.2542388,633.5160395,834.7716851,704.3052922,698.9850537,711.8410995,737.5053203,833.6065598,785.2477966,786.0384366,732.4777123,725.1220895,905.5290231,879.4630508,965.2726274,739.667532,833.1539225,648.8306844,841.6233175,863.534923,939.736515,845.4153681,1041.979413,976.8276375,762.061933,927.3141673,838.5249696,864.0207809,889.5188822,933.7715468,924.6869934,936.3767053,877.8170382,1090.82763,906.7244289,1003.838245,958.556775
-176.375,-43.875,111.900294,38.92240222,10.0452206,19.09714929,6.88293752,66.51425146,93.87200897,50.38037236,152.8860481,37.61716966,52.60030571,32.92707004,19.1726498,20.27226765,234.4732667,96.79358178,56.6464902,37.19683748,220.7559561,76.17909112,99.44757576,44.36000446,93.92578849,98.31311324,202.5174639,225.1565138,58.65648777,160.2926994,141.8656344,222.1618421,139.7823608,242.5868659,194.736116,345.0038416,164.1991222,123.8248193,205.9168007,294.2209647,298.6331546,324.0536964,124.677336,192.7416005,298.5010678,443.7206696,209.1654125,192.3441254,304.2463538,256.2590464,309.6056851,267.4346894,336.7070709,347.7966567,416.3507339,466.6614743,458.6262855,358.546803,585.0959447,773.853559,523.7081774,463.8565684,396.5663024,424.4854757,422.4831699,547.2645224,638.1607533,496.8489953,341.0065536,492.5568241,685.5459462,687.9010815,799.8870041,535.934373,580.7424594,552.1279824,663.334319,856.0435709,617.820408,491.5826633,668.7613927,668.5818141,578.9085326,754.6970329,790.1681722,637.3300212,821.9223608,699.1589569,703.3675354,686.0577218,732.6180335,826.0929966,777.7465451,771.7783795,724.149979,725.3952496,904.7142269,868.7037976,959.7824502,723.9849218,822.6760138,637.1517452,848.0124482,862.4129767,932.9083633,846.2951696,1038.791841,973.7008401,771.0541908,925.6581111,839.2209168,858.4333391,895.423695,921.5103126,923.4473669,928.8197866,874.9394291,1089.794973,907.0381579,992.6269541,957.1838872
-176.375,-43.625,89.9428054,33.2707854,7.90254001,25.68755534,10.7041992,67.10927088,93.68148259,51.0801661,150.8574793,38.60113093,50.95319018,32.27727449,24.06645702,21.48907978,236.1366738,89.68797766,56.16689399,36.64363728,223.8128688,81.0566319,99.4092239,27.08470208,101.5561112,98.60082318,186.1215147,230.7254824,57.21318796,157.5544571,142.1222358,220.2111674,146.4426143,241.1312649,192.1727668,345.0927979,163.5825947,116.0189312,170.9937063,285.2508116,308.3807041,306.3185908,123.1645784,182.1560601,306.0050982,441.7864439,200.5156905,192.7215234,304.14363,258.4219713,317.2833087,267.5850973,329.6629174,335.386099,392.0361141,450.7012388,438.4086513,369.9270258,546.2610778,735.3439248,506.0738061,451.8718114,384.913174,417.0872038,424.4387449,540.822946,628.3457123,491.3213053,335.9171981,499.8274514,682.1066656,658.0844113,789.9340039,514.8067284,564.6396625,551.8560123,651.7140368,855.2222203,616.1544458,487.1670463,665.9288869,664.3428047,575.73713,747.3734536,784.4787781,648.2141309,814.7244949,683.6635724,717.1158537,676.4601462,737.496963,815.8483456,763.9810614,765.0693223,709.1400401,736.398335,899.3421052,855.0205277,954.8327659,705.5250353,821.2239047,625.9364828,854.2728636,857.3907058,920.0802928,869.9264711,1037.882031,970.833656,778.775505,926.6445886,851.4406316,852.0038144,880.1881206,907.7904069,925.1023517,927.1919998,869.0100895,1086.755403,914.652277,982.5483731,961.3418997
-176.125,-44.375,127.8020383,63.00884081,8.033975872,20.97595716,5.469990838,70.92848877,79.84479001,55.36410425,154.2400138,19.6405538,50.19262891,33.68762516,14.10716923,16.60140107,229.1954534,99.96026095,52.24436744,34.61381103,221.7456992,73.55442639,92.43297715,40.09244875,66.34733029,86.95501188,200.5747234,220.4858678,65.76329077,139.1978157,152.3165507,240.037253,128.3360888,208.8401683,192.9240568,345.4488663,177.0347108,127.4014692,230.2501181,311.9849225,277.2123698,358.990947,116.4351135,230.6638774,311.0976088,438.304505,212.9997662,226.6449814,336.6596238,251.7312152,290.8809361,273.3459066,354.9585945,380.5518713,460.5112422,480.4795884,494.5513969,368.2341732,646.1819907,821.3691759,543.8820472,439.5491345,416.9330089,477.9498876,454.051323,565.7993554,647.3013708,516.3931658,335.8769271,493.1014777,679.3467735,701.846893,816.6016106,547.6414034,624.2660296,587.6216401,685.1119014,858.0134259,611.0060564,513.3639298,665.7315171,683.1573064,593.3121469,760.5677631,785.8268371,630.7363484,866.3223462,709.2567695,694.8138771,750.1504059,746.5265117,844.1136457,807.5231794,816.978887,781.5915142,755.7659295,923.8135398,893.8885838,976.4201224,744.7433465,842.9261951,642.440139,851.71055,882.9933087,963.0275282,871.2663629,1072.61921,991.9228328,747.3544293,945.1343057,858.8779248,874.6151326,885.4258361,931.8045158,935.1031488,934.1030976,885.8513783,1087.674294,919.5173652,1025.788105,993.7060558
